Username;Number of Review;Number of Product;Response Chat (Percentage);Response Chat (Category);Length of Stay;Number of Follower;Product Category;Address;Rating;Status
indojaya.computer;1,9RB;64;98%;hitungan menit;13 bulan lalu;5,9RB;Komputer & Aksesoris;KOTA BANDUNG - SUMUR BANDUNG, JAWA BARAT, ID;4.9 (1,9RB Penilaian);Regular
jykomputer;4,5RB;570;99%;hitungan jam;5 tahun lalu;3,3RB;Komputer & Aksesoris;KOTA MALANG - KLOJEN, JAWA TIMUR, ID;4.8 (4,5RB Penilaian);Star
carmelie.id;1,3RB;60;65%;hitungan jam;4 tahun lalu;1,6RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - CEMPAKA PUTIH, DKI JAKARTA, ID;4.7 (1,3RB Penilaian);Regular
prevnext_computer;438;64;94%;hitungan jam;22 bulan lalu;3,3RB;Komputer & Aksesoris;KOTA JAKARTA TIMUR - PULO GADUNG, DKI JAKARTA, ID;4.7 (438 Penilaian);Regular
gamer.id_mall;247;318;98%;hitungan jam;3 bulan lalu;615;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.8 (247 Penilaian);Shopee Mall
hexacom20;456;749;98%;hitungan jam;16 bulan lalu;478;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.8 (456 Penilaian);Star
arizkyoctaviiani;2,5RB;191;91%;hitungan jam;6 tahun lalu;12,8RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID;4.7 (2,5RB Penilaian);Regular
agresid;1RB;601;88%;hitungan jam;13 bulan lalu;4,7RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.8 (1RB Penilaian);Shopee Mall
zahir.13;782;87;95%;hitungan jam;3 tahun lalu;866;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;866;Regular
yosuagideon;362;141;94%;hitungan jam;5 tahun lalu;708;Komputer & Aksesoris;KOTA JAKARTA SELATAN - KEBAYORAN BARU, DKI JAKARTA, ID;4.8 (362 Penilaian);Regular
new.meteor;775;596;71%;hitungan jam;23 bulan lalu;691;Komputer & Aksesoris;KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID;4.8 (775 Penilaian);Regular
gsrcomp;866;150;94%;hitungan jam;4 tahun lalu;3,1RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - CENGKARENG, DKI JAKARTA, ID;4.7 (866 Penilaian);Regular
itgaleriofficial;996;289;91%;hitungan jam;23 bulan lalu;11,1RB;Komputer & Aksesoris;KOTA TANGERANG SELATAN - CIPUTAT TIMUR, BANTEN, ID;4.9 (996 Penilaian);Shopee Mall
saifulnugraha12;944;92;97%;hitungan jam;16 bulan lalu;34,4RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.9 (944 Penilaian);Star
skytech.store;727;296;100%;hitungan jam;19 bulan lalu;1RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - KEMAYORAN, DKI JAKARTA, ID;4.9 (727 Penilaian);Star+
visiontech98;10;90;99%;hitungan jam;4 bulan lalu;21;Komputer & Aksesoris;KOTA DEPOK - BEJI, JAWA BARAT, ID;4.6 (10 Penilaian);Regular
liemsiaw;2RB;52;98%;hitungan jam;18 bulan lalu;3RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - GROGOL PETAMBURAN, DKI JAKARTA, ID;4.8 (2RB Penilaian);Regular
collinsofficial;10;50;98%;hitungan jam;9 bulan lalu;29;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;5.0 (10 Penilaian);Regular
compasscomp;120;98;94%;hitungan jam;7 bulan lalu;136;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (120 Penilaian);Regular
rumahlaptop_;2,4RB;503;97%;hitungan jam;4 tahun lalu;1,4RB;Komputer & Aksesoris;KOTA SURABAYA - BENOWO, JAWA TIMUR, ID;4.8 (2,4RB Penilaian);Regular
miuossurabaya;558;160;99%;hitungan jam;4 tahun lalu;3,6RB;Komputer & Aksesoris;KOTA SURABAYA - WONOCOLO, JAWA TIMUR, ID;4.8 (558 Penilaian);Regular
hpshopping.id;7,6RB;1,1RB;100%;hitungan jam;4 tahun lalu;44,5RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.8 (7,6RB Penilaian);Shopee Mall
juraganlaptop_pro;459;412;96%;hitungan jam;12 bulan lalu;202;Komputer & Aksesoris;KOTA SURABAYA - SAWAHAN, JAWA TIMUR, ID;4.9 (459 Penilaian);Star+
betet89;1,5RB;61;93%;hitungan jam;34 bulan lalu;6,1RB;Komputer & Aksesoris;KOTA JAKARTA TIMUR - CAKUNG, DKI JAKARTA, ID;4.7 (1,5RB Penilaian);Regular
okedistro;390;73;45%;hitungan jam;5 tahun lalu;1,6RB;Komputer & Aksesoris;KOTA TANGERANG SELATAN - PAMULANG, BANTEN, ID;4.6 (390 Penilaian);Regular
sewalaptop;246;60;99%;hitungan jam;11 bulan lalu;397;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (246 Penilaian);Regular
realpolobagsofficial;7,6RB;77;83%;hitungan jam;17 bulan lalu;20,2RB;Tas Pria;KOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID;4.8 (7,6RB Penilaian);Shopee Mall
aliexpert;976;80;72%;hitungan jam;25 bulan lalu;104;Komputer & Aksesoris;KOTA JAKARTA UTARA - KELAPA GADING, DKI JAKARTA, ID;4.9 (976 Penilaian);Regular
lapycomp;1,4RB;726;93%;hitungan jam;3 tahun lalu;878;Komputer & Aksesoris;KOTA SURABAYA - BENOWO, JAWA TIMUR, ID;4.8 (1,4RB Penilaian);Regular
mrdata;25,1RB;870;100%;hitungan jam;6 tahun lalu;16,8RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - CENGKARENG, DKI JAKARTA, ID;4.7 (25,1RB Penilaian);Regular
spesialis_laptop;10;88;99%;hitungan menit;57 hari lalu;84;Komputer & Aksesoris;KOTA DEPOK - BOJONGSARI, JAWA BARAT, ID;4.8 (10 Penilaian);Regular
ariefsetiawanqe;2RB;109;93%;hitungan jam;24 bulan lalu;6RB;Komputer & Aksesoris;KAB. BEKASI - CIKARANG PUSAT, JAWA BARAT, ID;4.7 (2RB Penilaian);Regular
zona_tech;8,7RB;360;100%;hitungan jam;20 bulan lalu;7,1RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - KEMBANGAN, DKI JAKARTA, ID;4.9 (8,7RB Penilaian);Star+
sixtyninenotebook;865;139;95%;hitungan jam;27 bulan lalu;2RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - KEMAYORAN, DKI JAKARTA, ID;4.9 (865 Penilaian);Regular
nextshop77;310;50;96%;hitungan jam;34 bulan lalu;342;Komputer & Aksesoris;KOTA JAKARTA BARAT - CENGKARENG, DKI JAKARTA, ID;4.6 (310 Penilaian);Regular
leva_com18;993;99;97%;hitungan jam;20 bulan lalu;886;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.5 (993 Penilaian);Regular
protechcomp;1,9RB;319;94%;hitungan jam;4 tahun lalu;12,7RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.7 (1,9RB Penilaian);Star
grade_computer;40,6RB;1,2RB;100%;hitungan jam;30 bulan lalu;9,1RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.8 (40,6RB Penilaian);Regular
kingzn_notebook;213;537;95%;hitungan jam;3 tahun lalu;354;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.7 (213 Penilaian);Star
foxcomputer;127;57;98%;hitungan jam;4 tahun lalu;115;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.9 (127 Penilaian);Regular
msiofficial;202;67;92%;hitungan jam;4 tahun lalu;11RB;Komputer & Aksesoris;KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID;4.9 (202 Penilaian);Shopee Mall
hp.agres;166;336;100%;hitungan menit;2 bulan lalu;583;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.9 (166 Penilaian);Shopee Mall
annur_store.id;36;34;100%;hitungan jam;14 bulan lalu;250;Komputer & Aksesoris;KOTA BEKASI - PONDOK MELATI, JAWA BARAT, ID;4.8 (36 Penilaian);Regular
shinecom119;1,9RB;366;98%;hitungan menit;4 tahun lalu;4,7RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.9 (1,9RB Penilaian);Star
psi.fashion;58,1RB;60;100%;hitungan jam;34 bulan lalu;81,4RB;Tas Wanita;KOTA TANGERANG - BATUCEPER, BANTEN, ID;4.8 (58,1RB Penilaian);Star
rifan.j;433;63;89%;hitungan jam;3 tahun lalu;524;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.6 (433 Penilaian);Regular
blue_comp;35;40;97%;hitungan jam;6 bulan lalu;86;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.7 (35 Penilaian);Regular
hp.itgaleri;57;325;100%;hitungan jam;2 bulan lalu;632;Komputer & Aksesoris;KOTA TANGERANG SELATAN - CIPUTAT TIMUR, BANTEN, ID;4.9 (57 Penilaian);Shopee Mall
lenovo.id;6,7RB;362;77%;hitungan jam;4 tahun lalu;182,5RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.9 (6,7RB Penilaian);Shopee Mall
applestore.jkt;9,9RB;250;86%;hitungan jam;24 bulan lalu;8,4RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID;4.9 (9,9RB Penilaian);Regular
askcom;93;222;99%;hitungan menit;12 bulan lalu;118;Komputer & Aksesoris;KOTA JAKARTA SELATAN - SETIA BUDI, DKI JAKARTA, ID;4.9 (93 Penilaian);Regular
